Index, Altitude (km), Ground Range (km), IHAZE (1 = 23 km vis, 2 = 5 km vis)
1,0.002,0,1,
2,0.002,0.1,1,
3,0.002,0.5,1,
4,0.002,1,1,
5,0.002,2,1,
6,0.002,3,1,
7,0.002,4,1,
8,0.002,5,1,
9,0.0325,0,1,
10,0.0325,0.1,1,
11,0.0325,0.5,1,
12,0.0325,1,1,
13,0.0325,2,1,
14,0.0325,3,1,
15,0.0325,4,1,
16,0.0325,5,1,
17,0.0325,6,1,
18,0.0325,7,1,
19,0.0325,8,1,
20,0.0325,9,1,
21,0.0325,10,1,
22,0.0325,11,1,
23,0.0325,12,1,
24,0.0325,13,1,
25,0.0325,14,1,
26,0.0325,15,1,
27,0.0325,16,1,
28,0.0325,17,1,
29,0.0325,18,1,
30,0.0325,19,1,
31,0.0325,20,1,
32,0.075,0,1,
33,0.075,0.1,1,
34,0.075,0.5,1,
35,0.075,1,1,
36,0.075,2,1,
37,0.075,3,1,
38,0.075,4,1,
39,0.075,5,1,
40,0.075,6,1,
41,0.075,7,1,
42,0.075,8,1,
43,0.075,9,1,
44,0.075,10,1,
45,0.075,11,1,
46,0.075,12,1,
47,0.075,13,1,
48,0.075,14,1,
49,0.075,15,1,
50,0.075,16,1,
51,0.075,17,1,
52,0.075,18,1,
53,0.075,19,1,
54,0.075,20,1,
55,0.075,22,1,
56,0.075,24,1,
57,0.075,26,1,
58,0.075,28,1,
59,0.075,30,1,
60,0.15,0,1,
61,0.15,0.1,1,
62,0.15,0.5,1,
63,0.15,1,1,
64,0.15,2,1,
65,0.15,3,1,
66,0.15,4,1,
67,0.15,5,1,
68,0.15,6,1,
69,0.15,7,1,
70,0.15,8,1,
71,0.15,9,1,
72,0.15,10,1,
73,0.15,11,1,
74,0.15,12,1,
75,0.15,13,1,
76,0.15,14,1,
77,0.15,15,1,
78,0.15,16,1,
79,0.15,17,1,
80,0.15,18,1,
81,0.15,19,1,
82,0.15,20,1,
83,0.15,22,1,
84,0.15,24,1,
85,0.15,26,1,
86,0.15,28,1,
87,0.15,30,1,
88,0.15,32,1,
89,0.15,34,1,
90,0.15,36,1,
91,0.15,38,1,
92,0.15,40,1,
93,0.15,42,1,
94,0.225,0,1,
95,0.225,0.1,1,
96,0.225,0.5,1,
97,0.225,1,1,
98,0.225,2,1,
99,0.225,3,1,
100,0.225,4,1,
101,0.225,5,1,
102,0.225,6,1,
103,0.225,7,1,
104,0.225,8,1,
105,0.225,9,1,
106,0.225,10,1,
107,0.225,11,1,
108,0.225,12,1,
109,0.225,13,1,
110,0.225,14,1,
111,0.225,15,1,
112,0.225,16,1,
113,0.225,17,1,
114,0.225,18,1,
115,0.225,19,1,
116,0.225,20,1,
117,0.225,22,1,
118,0.225,24,1,
119,0.225,26,1,
120,0.225,28,1,
121,0.225,30,1,
122,0.225,32,1,
123,0.225,34,1,
124,0.225,36,1,
125,0.225,38,1,
126,0.225,40,1,
127,0.225,42,1,
128,0.225,44,1,
129,0.225,46,1,
130,0.225,48,1,
131,0.225,50,1,
132,0.225,52,1,
133,0.5,0,1,
134,0.5,0.1,1,
135,0.5,0.5,1,
136,0.5,1,1,
137,0.5,2,1,
138,0.5,3,1,
139,0.5,4,1,
140,0.5,5,1,
141,0.5,6,1,
142,0.5,7,1,
143,0.5,8,1,
144,0.5,9,1,
145,0.5,10,1,
146,0.5,11,1,
147,0.5,12,1,
148,0.5,13,1,
149,0.5,14,1,
150,0.5,15,1,
151,0.5,16,1,
152,0.5,17,1,
153,0.5,18,1,
154,0.5,19,1,
155,0.5,20,1,
156,0.5,22,1,
157,0.5,24,1,
158,0.5,26,1,
159,0.5,28,1,
160,0.5,30,1,
161,0.5,32,1,
162,0.5,34,1,
163,0.5,36,1,
164,0.5,38,1,
165,0.5,40,1,
166,0.5,42,1,
167,0.5,44,1,
168,0.5,46,1,
169,0.5,48,1,
170,0.5,50,1,
171,0.5,52,1,
172,0.5,54,1,
173,0.5,56,1,
174,0.5,58,1,
175,0.5,60,1,
176,0.5,62,1,
177,0.5,64,1,
178,0.5,66,1,
179,0.5,68,1,
180,0.5,70,1,
181,0.5,72,1,
182,0.5,74,1,
183,0.5,76,1,
184,0.5,78,1,
185,1,0,1,
186,1,0.1,1,
187,1,0.5,1,
188,1,1,1,
189,1,2,1,
190,1,3,1,
191,1,4,1,
192,1,5,1,
193,1,6,1,
194,1,7,1,
195,1,8,1,
196,1,9,1,
197,1,10,1,
198,1,11,1,
199,1,12,1,
200,1,13,1,
201,1,14,1,
202,1,15,1,
203,1,16,1,
204,1,17,1,
205,1,18,1,
206,1,19,1,
207,1,20,1,
208,1,22,1,
209,1,24,1,
210,1,26,1,
211,1,28,1,
212,1,30,1,
213,1,32,1,
214,1,34,1,
215,1,36,1,
216,1,38,1,
217,1,40,1,
218,1,42,1,
219,1,44,1,
220,1,46,1,
221,1,48,1,
222,1,50,1,
223,1,52,1,
224,1,54,1,
225,1,56,1,
226,1,58,1,
227,1,60,1,
228,1,62,1,
229,1,64,1,
230,1,66,1,
231,1,68,1,
232,1,70,1,
233,1,72,1,
234,1,74,1,
235,1,76,1,
236,1,78,1,
237,1,80,1,
238,1,85,1,
239,1,90,1,
240,1,95,1,
241,1,100,1,
242,1,105,1,
243,1,110,1,
244,2,0,1,
245,2,0.1,1,
246,2,0.5,1,
247,2,1,1,
248,2,2,1,
249,2,3,1,
250,2,4,1,
251,2,5,1,
252,2,6,1,
253,2,7,1,
254,2,8,1,
255,2,9,1,
256,2,10,1,
257,2,11,1,
258,2,12,1,
259,2,13,1,
260,2,14,1,
261,2,15,1,
262,2,16,1,
263,2,17,1,
264,2,18,1,
265,2,19,1,
266,2,20,1,
267,2,22,1,
268,2,24,1,
269,2,26,1,
270,2,28,1,
271,2,30,1,
272,2,32,1,
273,2,34,1,
274,2,36,1,
275,2,38,1,
276,2,40,1,
277,2,42,1,
278,2,44,1,
279,2,46,1,
280,2,48,1,
281,2,50,1,
282,2,52,1,
283,2,54,1,
284,2,56,1,
285,2,58,1,
286,2,60,1,
287,2,62,1,
288,2,64,1,
289,2,66,1,
290,2,68,1,
291,2,70,1,
292,2,72,1,
293,2,74,1,
294,2,76,1,
295,2,78,1,
296,2,80,1,
297,2,85,1,
298,2,90,1,
299,2,95,1,
300,2,100,1,
301,2,105,1,
302,2,110,1,
303,2,115,1,
304,2,120,1,
305,2,125,1,
306,2,130,1,
307,2,135,1,
308,2,140,1,
309,2,145,1,
310,2,150,1,
311,2,155,1,
312,3,0,1,
313,3,0.1,1,
314,3,0.5,1,
315,3,1,1,
316,3,2,1,
317,3,3,1,
318,3,4,1,
319,3,5,1,
320,3,6,1,
321,3,7,1,
322,3,8,1,
323,3,9,1,
324,3,10,1,
325,3,11,1,
326,3,12,1,
327,3,13,1,
328,3,14,1,
329,3,15,1,
330,3,16,1,
331,3,17,1,
332,3,18,1,
333,3,19,1,
334,3,20,1,
335,3,22,1,
336,3,24,1,
337,3,26,1,
338,3,28,1,
339,3,30,1,
340,3,32,1,
341,3,34,1,
342,3,36,1,
343,3,38,1,
344,3,40,1,
345,3,42,1,
346,3,44,1,
347,3,46,1,
348,3,48,1,
349,3,50,1,
350,3,52,1,
351,3,54,1,
352,3,56,1,
353,3,58,1,
354,3,60,1,
355,3,62,1,
356,3,64,1,
357,3,66,1,
358,3,68,1,
359,3,70,1,
360,3,72,1,
361,3,74,1,
362,3,76,1,
363,3,78,1,
364,3,80,1,
365,3,85,1,
366,3,90,1,
367,3,95,1,
368,3,100,1,
369,3,105,1,
370,3,110,1,
371,3,115,1,
372,3,120,1,
373,3,125,1,
374,3,130,1,
375,3,135,1,
376,3,140,1,
377,3,145,1,
378,3,150,1,
379,3,155,1,
380,3,160,1,
381,3,165,1,
382,3,170,1,
383,3,175,1,
384,3,180,1,
385,3,185,1,
386,3,190,1,
387,3,195,1,
388,4,0,1,
389,4,0.1,1,
390,4,0.5,1,
391,4,1,1,
392,4,2,1,
393,4,3,1,
394,4,4,1,
395,4,5,1,
396,4,6,1,
397,4,7,1,
398,4,8,1,
399,4,9,1,
400,4,10,1,
401,4,11,1,
402,4,12,1,
403,4,13,1,
404,4,14,1,
405,4,15,1,
406,4,16,1,
407,4,17,1,
408,4,18,1,
409,4,19,1,
410,4,20,1,
411,4,22,1,
412,4,24,1,
413,4,26,1,
414,4,28,1,
415,4,30,1,
416,4,32,1,
417,4,34,1,
418,4,36,1,
419,4,38,1,
420,4,40,1,
421,4,42,1,
422,4,44,1,
423,4,46,1,
424,4,48,1,
425,4,50,1,
426,4,52,1,
427,4,54,1,
428,4,56,1,
429,4,58,1,
430,4,60,1,
431,4,62,1,
432,4,64,1,
433,4,66,1,
434,4,68,1,
435,4,70,1,
436,4,72,1,
437,4,74,1,
438,4,76,1,
439,4,78,1,
440,4,80,1,
441,4,85,1,
442,4,90,1,
443,4,95,1,
444,4,100,1,
445,4,105,1,
446,4,110,1,
447,4,115,1,
448,4,120,1,
449,4,125,1,
450,4,130,1,
451,4,135,1,
452,4,140,1,
453,4,145,1,
454,4,150,1,
455,4,155,1,
456,4,160,1,
457,4,165,1,
458,4,170,1,
459,4,175,1,
460,4,180,1,
461,4,185,1,
462,4,190,1,
463,4,195,1,
464,4,200,1,
465,4,205,1,
466,4,210,1,
467,4,215,1,
468,4,220,1,
469,4,225,1,
470,5,0,1,
471,5,0.1,1,
472,5,0.5,1,
473,5,1,1,
474,5,2,1,
475,5,3,1,
476,5,4,1,
477,5,5,1,
478,5,6,1,
479,5,7,1,
480,5,8,1,
481,5,9,1,
482,5,10,1,
483,5,11,1,
484,5,12,1,
485,5,13,1,
486,5,14,1,
487,5,15,1,
488,5,16,1,
489,5,17,1,
490,5,18,1,
491,5,19,1,
492,5,20,1,
493,5,22,1,
494,5,24,1,
495,5,26,1,
496,5,28,1,
497,5,30,1,
498,5,32,1,
499,5,34,1,
500,5,36,1,
501,5,38,1,
502,5,40,1,
503,5,42,1,
504,5,44,1,
505,5,46,1,
506,5,48,1,
507,5,50,1,
508,5,52,1,
509,5,54,1,
510,5,56,1,
511,5,58,1,
512,5,60,1,
513,5,62,1,
514,5,64,1,
515,5,66,1,
516,5,68,1,
517,5,70,1,
518,5,72,1,
519,5,74,1,
520,5,76,1,
521,5,78,1,
522,5,80,1,
523,5,85,1,
524,5,90,1,
525,5,95,1,
526,5,100,1,
527,5,105,1,
528,5,110,1,
529,5,115,1,
530,5,120,1,
531,5,125,1,
532,5,130,1,
533,5,135,1,
534,5,140,1,
535,5,145,1,
536,5,150,1,
537,5,155,1,
538,5,160,1,
539,5,165,1,
540,5,170,1,
541,5,175,1,
542,5,180,1,
543,5,185,1,
544,5,190,1,
545,5,195,1,
546,5,200,1,
547,5,205,1,
548,5,210,1,
549,5,215,1,
550,5,220,1,
551,5,225,1,
552,5,230,1,
553,5,235,1,
554,5,240,1,
555,5,245,1,
556,5,250,1,
557,6,0,1,
558,6,0.1,1,
559,6,0.5,1,
560,6,1,1,
561,6,2,1,
562,6,3,1,
563,6,4,1,
564,6,5,1,
565,6,6,1,
566,6,7,1,
567,6,8,1,
568,6,9,1,
569,6,10,1,
570,6,11,1,
571,6,12,1,
572,6,13,1,
573,6,14,1,
574,6,15,1,
575,6,16,1,
576,6,17,1,
577,6,18,1,
578,6,19,1,
579,6,20,1,
580,6,22,1,
581,6,24,1,
582,6,26,1,
583,6,28,1,
584,6,30,1,
585,6,32,1,
586,6,34,1,
587,6,36,1,
588,6,38,1,
589,6,40,1,
590,6,42,1,
591,6,44,1,
592,6,46,1,
593,6,48,1,
594,6,50,1,
595,6,52,1,
596,6,54,1,
597,6,56,1,
598,6,58,1,
599,6,60,1,
600,6,62,1,
601,6,64,1,
602,6,66,1,
603,6,68,1,
604,6,70,1,
605,6,72,1,
606,6,74,1,
607,6,76,1,
608,6,78,1,
609,6,80,1,
610,6,85,1,
611,6,90,1,
612,6,95,1,
613,6,100,1,
614,6,105,1,
615,6,110,1,
616,6,115,1,
617,6,120,1,
618,6,125,1,
619,6,130,1,
620,6,135,1,
621,6,140,1,
622,6,145,1,
623,6,150,1,
624,6,155,1,
625,6,160,1,
626,6,165,1,
627,6,170,1,
628,6,175,1,
629,6,180,1,
630,6,185,1,
631,6,190,1,
632,6,195,1,
633,6,200,1,
634,6,205,1,
635,6,210,1,
636,6,215,1,
637,6,220,1,
638,6,225,1,
639,6,230,1,
640,6,235,1,
641,6,240,1,
642,6,245,1,
643,6,250,1,
644,6,255,1,
645,6,260,1,
646,6,265,1,
647,6,270,1,
648,6,275,1,
649,7,0,1,
650,7,0.1,1,
651,7,0.5,1,
652,7,1,1,
653,7,2,1,
654,7,3,1,
655,7,4,1,
656,7,5,1,
657,7,6,1,
658,7,7,1,
659,7,8,1,
660,7,9,1,
661,7,10,1,
662,7,11,1,
663,7,12,1,
664,7,13,1,
665,7,14,1,
666,7,15,1,
667,7,16,1,
668,7,17,1,
669,7,18,1,
670,7,19,1,
671,7,20,1,
672,7,22,1,
673,7,24,1,
674,7,26,1,
675,7,28,1,
676,7,30,1,
677,7,32,1,
678,7,34,1,
679,7,36,1,
680,7,38,1,
681,7,40,1,
682,7,42,1,
683,7,44,1,
684,7,46,1,
685,7,48,1,
686,7,50,1,
687,7,52,1,
688,7,54,1,
689,7,56,1,
690,7,58,1,
691,7,60,1,
692,7,62,1,
693,7,64,1,
694,7,66,1,
695,7,68,1,
696,7,70,1,
697,7,72,1,
698,7,74,1,
699,7,76,1,
700,7,78,1,
701,7,80,1,
702,7,85,1,
703,7,90,1,
704,7,95,1,
705,7,100,1,
706,7,105,1,
707,7,110,1,
708,7,115,1,
709,7,120,1,
710,7,125,1,
711,7,130,1,
712,7,135,1,
713,7,140,1,
714,7,145,1,
715,7,150,1,
716,7,155,1,
717,7,160,1,
718,7,165,1,
719,7,170,1,
720,7,175,1,
721,7,180,1,
722,7,185,1,
723,7,190,1,
724,7,195,1,
725,7,200,1,
726,7,205,1,
727,7,210,1,
728,7,215,1,
729,7,220,1,
730,7,225,1,
731,7,230,1,
732,7,235,1,
733,7,240,1,
734,7,245,1,
735,7,250,1,
736,7,255,1,
737,7,260,1,
738,7,265,1,
739,7,270,1,
740,7,275,1,
741,7,280,1,
742,7,285,1,
743,7,290,1,
744,7,295,1,
745,8,0,1,
746,8,0.1,1,
747,8,0.5,1,
748,8,1,1,
749,8,2,1,
750,8,3,1,
751,8,4,1,
752,8,5,1,
753,8,6,1,
754,8,7,1,
755,8,8,1,
756,8,9,1,
757,8,10,1,
758,8,11,1,
759,8,12,1,
760,8,13,1,
761,8,14,1,
762,8,15,1,
763,8,16,1,
764,8,17,1,
765,8,18,1,
766,8,19,1,
767,8,20,1,
768,8,22,1,
769,8,24,1,
770,8,26,1,
771,8,28,1,
772,8,30,1,
773,8,32,1,
774,8,34,1,
775,8,36,1,
776,8,38,1,
777,8,40,1,
778,8,42,1,
779,8,44,1,
780,8,46,1,
781,8,48,1,
782,8,50,1,
783,8,52,1,
784,8,54,1,
785,8,56,1,
786,8,58,1,
787,8,60,1,
788,8,62,1,
789,8,64,1,
790,8,66,1,
791,8,68,1,
792,8,70,1,
793,8,72,1,
794,8,74,1,
795,8,76,1,
796,8,78,1,
797,8,80,1,
798,8,85,1,
799,8,90,1,
800,8,95,1,
801,8,100,1,
802,8,105,1,
803,8,110,1,
804,8,115,1,
805,8,120,1,
806,8,125,1,
807,8,130,1,
808,8,135,1,
809,8,140,1,
810,8,145,1,
811,8,150,1,
812,8,155,1,
813,8,160,1,
814,8,165,1,
815,8,170,1,
816,8,175,1,
817,8,180,1,
818,8,185,1,
819,8,190,1,
820,8,195,1,
821,8,200,1,
822,8,205,1,
823,8,210,1,
824,8,215,1,
825,8,220,1,
826,8,225,1,
827,8,230,1,
828,8,235,1,
829,8,240,1,
830,8,245,1,
831,8,250,1,
832,8,255,1,
833,8,260,1,
834,8,265,1,
835,8,270,1,
836,8,275,1,
837,8,280,1,
838,8,285,1,
839,8,290,1,
840,8,295,1,
841,8,300,1,
842,9,0,1,
843,9,0.1,1,
844,9,0.5,1,
845,9,1,1,
846,9,2,1,
847,9,3,1,
848,9,4,1,
849,9,5,1,
850,9,6,1,
851,9,7,1,
852,9,8,1,
853,9,9,1,
854,9,10,1,
855,9,11,1,
856,9,12,1,
857,9,13,1,
858,9,14,1,
859,9,15,1,
860,9,16,1,
861,9,17,1,
862,9,18,1,
863,9,19,1,
864,9,20,1,
865,9,22,1,
866,9,24,1,
867,9,26,1,
868,9,28,1,
869,9,30,1,
870,9,32,1,
871,9,34,1,
872,9,36,1,
873,9,38,1,
874,9,40,1,
875,9,42,1,
876,9,44,1,
877,9,46,1,
878,9,48,1,
879,9,50,1,
880,9,52,1,
881,9,54,1,
882,9,56,1,
883,9,58,1,
884,9,60,1,
885,9,62,1,
886,9,64,1,
887,9,66,1,
888,9,68,1,
889,9,70,1,
890,9,72,1,
891,9,74,1,
892,9,76,1,
893,9,78,1,
894,9,80,1,
895,9,85,1,
896,9,90,1,
897,9,95,1,
898,9,100,1,
899,9,105,1,
900,9,110,1,
901,9,115,1,
902,9,120,1,
903,9,125,1,
904,9,130,1,
905,9,135,1,
906,9,140,1,
907,9,145,1,
908,9,150,1,
909,9,155,1,
910,9,160,1,
911,9,165,1,
912,9,170,1,
913,9,175,1,
914,9,180,1,
915,9,185,1,
916,9,190,1,
917,9,195,1,
918,9,200,1,
919,9,205,1,
920,9,210,1,
921,9,215,1,
922,9,220,1,
923,9,225,1,
924,9,230,1,
925,9,235,1,
926,9,240,1,
927,9,245,1,
928,9,250,1,
929,9,255,1,
930,9,260,1,
931,9,265,1,
932,9,270,1,
933,9,275,1,
934,9,280,1,
935,9,285,1,
936,9,290,1,
937,9,295,1,
938,9,300,1,
939,10,0,1,
940,10,0.1,1,
941,10,0.5,1,
942,10,1,1,
943,10,2,1,
944,10,3,1,
945,10,4,1,
946,10,5,1,
947,10,6,1,
948,10,7,1,
949,10,8,1,
950,10,9,1,
951,10,10,1,
952,10,11,1,
953,10,12,1,
954,10,13,1,
955,10,14,1,
956,10,15,1,
957,10,16,1,
958,10,17,1,
959,10,18,1,
960,10,19,1,
961,10,20,1,
962,10,22,1,
963,10,24,1,
964,10,26,1,
965,10,28,1,
966,10,30,1,
967,10,32,1,
968,10,34,1,
969,10,36,1,
970,10,38,1,
971,10,40,1,
972,10,42,1,
973,10,44,1,
974,10,46,1,
975,10,48,1,
976,10,50,1,
977,10,52,1,
978,10,54,1,
979,10,56,1,
980,10,58,1,
981,10,60,1,
982,10,62,1,
983,10,64,1,
984,10,66,1,
985,10,68,1,
986,10,70,1,
987,10,72,1,
988,10,74,1,
989,10,76,1,
990,10,78,1,
991,10,80,1,
992,10,85,1,
993,10,90,1,
994,10,95,1,
995,10,100,1,
996,10,105,1,
997,10,110,1,
998,10,115,1,
999,10,120,1,
1000,10,125,1,
1001,10,130,1,
1002,10,135,1,
1003,10,140,1,
1004,10,145,1,
1005,10,150,1,
1006,10,155,1,
1007,10,160,1,
1008,10,165,1,
1009,10,170,1,
1010,10,175,1,
1011,10,180,1,
1012,10,185,1,
1013,10,190,1,
1014,10,195,1,
1015,10,200,1,
1016,10,205,1,
1017,10,210,1,
1018,10,215,1,
1019,10,220,1,
1020,10,225,1,
1021,10,230,1,
1022,10,235,1,
1023,10,240,1,
1024,10,245,1,
1025,10,250,1,
1026,10,255,1,
1027,10,260,1,
1028,10,265,1,
1029,10,270,1,
1030,10,275,1,
1031,10,280,1,
1032,10,285,1,
1033,10,290,1,
1034,10,295,1,
1035,10,300,1,
1036,11,0,1,
1037,11,0.1,1,
1038,11,0.5,1,
1039,11,1,1,
1040,11,2,1,
1041,11,3,1,
1042,11,4,1,
1043,11,5,1,
1044,11,6,1,
1045,11,7,1,
1046,11,8,1,
1047,11,9,1,
1048,11,10,1,
1049,11,11,1,
1050,11,12,1,
1051,11,13,1,
1052,11,14,1,
1053,11,15,1,
1054,11,16,1,
1055,11,17,1,
1056,11,18,1,
1057,11,19,1,
1058,11,20,1,
1059,11,22,1,
1060,11,24,1,
1061,11,26,1,
1062,11,28,1,
1063,11,30,1,
1064,11,32,1,
1065,11,34,1,
1066,11,36,1,
1067,11,38,1,
1068,11,40,1,
1069,11,42,1,
1070,11,44,1,
1071,11,46,1,
1072,11,48,1,
1073,11,50,1,
1074,11,52,1,
1075,11,54,1,
1076,11,56,1,
1077,11,58,1,
1078,11,60,1,
1079,11,62,1,
1080,11,64,1,
1081,11,66,1,
1082,11,68,1,
1083,11,70,1,
1084,11,72,1,
1085,11,74,1,
1086,11,76,1,
1087,11,78,1,
1088,11,80,1,
1089,11,85,1,
1090,11,90,1,
1091,11,95,1,
1092,11,100,1,
1093,11,105,1,
1094,11,110,1,
1095,11,115,1,
1096,11,120,1,
1097,11,125,1,
1098,11,130,1,
1099,11,135,1,
1100,11,140,1,
1101,11,145,1,
1102,11,150,1,
1103,11,155,1,
1104,11,160,1,
1105,11,165,1,
1106,11,170,1,
1107,11,175,1,
1108,11,180,1,
1109,11,185,1,
1110,11,190,1,
1111,11,195,1,
1112,11,200,1,
1113,11,205,1,
1114,11,210,1,
1115,11,215,1,
1116,11,220,1,
1117,11,225,1,
1118,11,230,1,
1119,11,235,1,
1120,11,240,1,
1121,11,245,1,
1122,11,250,1,
1123,11,255,1,
1124,11,260,1,
1125,11,265,1,
1126,11,270,1,
1127,11,275,1,
1128,11,280,1,
1129,11,285,1,
1130,11,290,1,
1131,11,295,1,
1132,11,300,1,
1133,12,0,1,
1134,12,0.1,1,
1135,12,0.5,1,
1136,12,1,1,
1137,12,2,1,
1138,12,3,1,
1139,12,4,1,
1140,12,5,1,
1141,12,6,1,
1142,12,7,1,
1143,12,8,1,
1144,12,9,1,
1145,12,10,1,
1146,12,11,1,
1147,12,12,1,
1148,12,13,1,
1149,12,14,1,
1150,12,15,1,
1151,12,16,1,
1152,12,17,1,
1153,12,18,1,
1154,12,19,1,
1155,12,20,1,
1156,12,22,1,
1157,12,24,1,
1158,12,26,1,
1159,12,28,1,
1160,12,30,1,
1161,12,32,1,
1162,12,34,1,
1163,12,36,1,
1164,12,38,1,
1165,12,40,1,
1166,12,42,1,
1167,12,44,1,
1168,12,46,1,
1169,12,48,1,
1170,12,50,1,
1171,12,52,1,
1172,12,54,1,
1173,12,56,1,
1174,12,58,1,
1175,12,60,1,
1176,12,62,1,
1177,12,64,1,
1178,12,66,1,
1179,12,68,1,
1180,12,70,1,
1181,12,72,1,
1182,12,74,1,
1183,12,76,1,
1184,12,78,1,
1185,12,80,1,
1186,12,85,1,
1187,12,90,1,
1188,12,95,1,
1189,12,100,1,
1190,12,105,1,
1191,12,110,1,
1192,12,115,1,
1193,12,120,1,
1194,12,125,1,
1195,12,130,1,
1196,12,135,1,
1197,12,140,1,
1198,12,145,1,
1199,12,150,1,
1200,12,155,1,
1201,12,160,1,
1202,12,165,1,
1203,12,170,1,
1204,12,175,1,
1205,12,180,1,
1206,12,185,1,
1207,12,190,1,
1208,12,195,1,
1209,12,200,1,
1210,12,205,1,
1211,12,210,1,
1212,12,215,1,
