Index, Altitude (km), Ground Range (km), IHAZE (1 = 23 km vis, 2 = 5 km vis)
2337,7,175,2,
2338,7,180,2,
2339,7,185,2,
2340,7,190,2,
2341,7,195,2,
2342,7,200,2,
2343,7,205,2,
2344,7,210,2,
2345,7,215,2,
2346,7,220,2,
2347,7,225,2,
2348,7,230,2,
2349,7,235,2,
2350,7,240,2,
2351,7,245,2,
2352,7,250,2,
2353,7,255,2,
2354,7,260,2,
2355,7,265,2,
2356,7,270,2,
2357,7,275,2,
2358,7,280,2,
2359,7,285,2,
2360,7,290,2,
2361,7,295,2,
2362,8,0,2,
2363,8,0.1,2,
2364,8,0.5,2,
2365,8,1,2,
2366,8,2,2,
2367,8,3,2,
2368,8,4,2,
2369,8,5,2,
2370,8,6,2,
2371,8,7,2,
2372,8,8,2,
2373,8,9,2,
2374,8,10,2,
2375,8,11,2,
2376,8,12,2,
2377,8,13,2,
2378,8,14,2,
2379,8,15,2,
2380,8,16,2,
2381,8,17,2,
2382,8,18,2,
2383,8,19,2,
2384,8,20,2,
2385,8,22,2,
2386,8,24,2,
2387,8,26,2,
2388,8,28,2,
2389,8,30,2,
2390,8,32,2,
2391,8,34,2,
2392,8,36,2,
2393,8,38,2,
2394,8,40,2,
2395,8,42,2,
2396,8,44,2,
2397,8,46,2,
2398,8,48,2,
2399,8,50,2,
2400,8,52,2,
2401,8,54,2,
2402,8,56,2,
2403,8,58,2,
2404,8,60,2,
2405,8,62,2,
2406,8,64,2,
2407,8,66,2,
2408,8,68,2,
2409,8,70,2,
2410,8,72,2,
2411,8,74,2,
2412,8,76,2,
2413,8,78,2,
2414,8,80,2,
2415,8,85,2,
2416,8,90,2,
2417,8,95,2,
2418,8,100,2,
2419,8,105,2,
2420,8,110,2,
2421,8,115,2,
2422,8,120,2,
2423,8,125,2,
2424,8,130,2,
2425,8,135,2,
2426,8,140,2,
2427,8,145,2,
2428,8,150,2,
2429,8,155,2,
2430,8,160,2,
2431,8,165,2,
2432,8,170,2,
2433,8,175,2,
2434,8,180,2,
2435,8,185,2,
2436,8,190,2,
2437,8,195,2,
2438,8,200,2,
2439,8,205,2,
2440,8,210,2,
2441,8,215,2,
2442,8,220,2,
2443,8,225,2,
2444,8,230,2,
2445,8,235,2,
2446,8,240,2,
2447,8,245,2,
2448,8,250,2,
2449,8,255,2,
2450,8,260,2,
2451,8,265,2,
2452,8,270,2,
2453,8,275,2,
2454,8,280,2,
2455,8,285,2,
2456,8,290,2,
2457,8,295,2,
2458,8,300,2,
2459,9,0,2,
2460,9,0.1,2,
2461,9,0.5,2,
2462,9,1,2,
2463,9,2,2,
2464,9,3,2,
2465,9,4,2,
2466,9,5,2,
2467,9,6,2,
2468,9,7,2,
2469,9,8,2,
2470,9,9,2,
2471,9,10,2,
2472,9,11,2,
2473,9,12,2,
2474,9,13,2,
2475,9,14,2,
2476,9,15,2,
2477,9,16,2,
2478,9,17,2,
2479,9,18,2,
2480,9,19,2,
2481,9,20,2,
2482,9,22,2,
2483,9,24,2,
2484,9,26,2,
2485,9,28,2,
2486,9,30,2,
2487,9,32,2,
2488,9,34,2,
2489,9,36,2,
2490,9,38,2,
2491,9,40,2,
2492,9,42,2,
2493,9,44,2,
2494,9,46,2,
2495,9,48,2,
2496,9,50,2,
2497,9,52,2,
2498,9,54,2,
2499,9,56,2,
2500,9,58,2,
2501,9,60,2,
2502,9,62,2,
2503,9,64,2,
2504,9,66,2,
2505,9,68,2,
2506,9,70,2,
2507,9,72,2,
2508,9,74,2,
2509,9,76,2,
2510,9,78,2,
2511,9,80,2,
2512,9,85,2,
2513,9,90,2,
2514,9,95,2,
2515,9,100,2,
2516,9,105,2,
2517,9,110,2,
2518,9,115,2,
2519,9,120,2,
2520,9,125,2,
2521,9,130,2,
2522,9,135,2,
2523,9,140,2,
2524,9,145,2,
2525,9,150,2,
2526,9,155,2,
2527,9,160,2,
2528,9,165,2,
2529,9,170,2,
2530,9,175,2,
2531,9,180,2,
2532,9,185,2,
2533,9,190,2,
2534,9,195,2,
2535,9,200,2,
2536,9,205,2,
2537,9,210,2,
2538,9,215,2,
2539,9,220,2,
2540,9,225,2,
2541,9,230,2,
2542,9,235,2,
2543,9,240,2,
2544,9,245,2,
2545,9,250,2,
2546,9,255,2,
2547,9,260,2,
2548,9,265,2,
2549,9,270,2,
2550,9,275,2,
2551,9,280,2,
2552,9,285,2,
2553,9,290,2,
2554,9,295,2,
2555,9,300,2,
2556,10,0,2,
2557,10,0.1,2,
2558,10,0.5,2,
2559,10,1,2,
2560,10,2,2,
2561,10,3,2,
2562,10,4,2,
2563,10,5,2,
2564,10,6,2,
2565,10,7,2,
2566,10,8,2,
2567,10,9,2,
2568,10,10,2,
2569,10,11,2,
2570,10,12,2,
2571,10,13,2,
2572,10,14,2,
2573,10,15,2,
2574,10,16,2,
2575,10,17,2,
2576,10,18,2,
2577,10,19,2,
2578,10,20,2,
2579,10,22,2,
2580,10,24,2,
2581,10,26,2,
2582,10,28,2,
2583,10,30,2,
2584,10,32,2,
2585,10,34,2,
2586,10,36,2,
2587,10,38,2,
2588,10,40,2,
2589,10,42,2,
2590,10,44,2,
2591,10,46,2,
2592,10,48,2,
2593,10,50,2,
2594,10,52,2,
2595,10,54,2,
2596,10,56,2,
2597,10,58,2,
2598,10,60,2,
2599,10,62,2,
2600,10,64,2,
2601,10,66,2,
2602,10,68,2,
2603,10,70,2,
2604,10,72,2,
2605,10,74,2,
2606,10,76,2,
2607,10,78,2,
2608,10,80,2,
2609,10,85,2,
2610,10,90,2,
2611,10,95,2,
2612,10,100,2,
2613,10,105,2,
2614,10,110,2,
2615,10,115,2,
2616,10,120,2,
2617,10,125,2,
2618,10,130,2,
2619,10,135,2,
2620,10,140,2,
2621,10,145,2,
2622,10,150,2,
2623,10,155,2,
2624,10,160,2,
2625,10,165,2,
2626,10,170,2,
2627,10,175,2,
2628,10,180,2,
2629,10,185,2,
2630,10,190,2,
2631,10,195,2,
2632,10,200,2,
2633,10,205,2,
2634,10,210,2,
2635,10,215,2,
2636,10,220,2,
2637,10,225,2,
2638,10,230,2,
2639,10,235,2,
2640,10,240,2,
2641,10,245,2,
2642,10,250,2,
2643,10,255,2,
2644,10,260,2,
2645,10,265,2,
2646,10,270,2,
2647,10,275,2,
2648,10,280,2,
2649,10,285,2,
2650,10,290,2,
2651,10,295,2,
2652,10,300,2,
2653,11,0,2,
2654,11,0.1,2,
2655,11,0.5,2,
2656,11,1,2,
2657,11,2,2,
2658,11,3,2,
2659,11,4,2,
2660,11,5,2,
2661,11,6,2,
2662,11,7,2,
2663,11,8,2,
2664,11,9,2,
2665,11,10,2,
2666,11,11,2,
2667,11,12,2,
2668,11,13,2,
2669,11,14,2,
2670,11,15,2,
2671,11,16,2,
2672,11,17,2,
2673,11,18,2,
2674,11,19,2,
2675,11,20,2,
2676,11,22,2,
2677,11,24,2,
2678,11,26,2,
2679,11,28,2,
2680,11,30,2,
2681,11,32,2,
2682,11,34,2,
2683,11,36,2,
2684,11,38,2,
2685,11,40,2,
2686,11,42,2,
2687,11,44,2,
2688,11,46,2,
2689,11,48,2,
2690,11,50,2,
2691,11,52,2,
2692,11,54,2,
2693,11,56,2,
2694,11,58,2,
2695,11,60,2,
2696,11,62,2,
2697,11,64,2,
2698,11,66,2,
2699,11,68,2,
2700,11,70,2,
2701,11,72,2,
2702,11,74,2,
2703,11,76,2,
2704,11,78,2,
2705,11,80,2,
2706,11,85,2,
2707,11,90,2,
2708,11,95,2,
2709,11,100,2,
2710,11,105,2,
2711,11,110,2,
2712,11,115,2,
2713,11,120,2,
2714,11,125,2,
2715,11,130,2,
2716,11,135,2,
2717,11,140,2,
2718,11,145,2,
2719,11,150,2,
2720,11,155,2,
2721,11,160,2,
2722,11,165,2,
2723,11,170,2,
2724,11,175,2,
2725,11,180,2,
2726,11,185,2,
2727,11,190,2,
2728,11,195,2,
2729,11,200,2,
2730,11,205,2,
2731,11,210,2,
2732,11,215,2,
2733,11,220,2,
2734,11,225,2,
2735,11,230,2,
2736,11,235,2,
2737,11,240,2,
2738,11,245,2,
2739,11,250,2,
2740,11,255,2,
2741,11,260,2,
2742,11,265,2,
2743,11,270,2,
2744,11,275,2,
2745,11,280,2,
2746,11,285,2,
2747,11,290,2,
2748,11,295,2,
2749,11,300,2,
2750,12,0,2,
2751,12,0.1,2,
2752,12,0.5,2,
2753,12,1,2,
2754,12,2,2,
2755,12,3,2,
2756,12,4,2,
2757,12,5,2,
2758,12,6,2,
2759,12,7,2,
2760,12,8,2,
2761,12,9,2,
2762,12,10,2,
2763,12,11,2,
2764,12,12,2,
2765,12,13,2,
2766,12,14,2,
2767,12,15,2,
2768,12,16,2,
2769,12,17,2,
2770,12,18,2,
2771,12,19,2,
2772,12,20,2,
2773,12,22,2,
2774,12,24,2,
2775,12,26,2,
2776,12,28,2,
2777,12,30,2,
2778,12,32,2,
2779,12,34,2,
2780,12,36,2,
2781,12,38,2,
2782,12,40,2,
2783,12,42,2,
2784,12,44,2,
2785,12,46,2,
2786,12,48,2,
2787,12,50,2,
2788,12,52,2,
2789,12,54,2,
2790,12,56,2,
2791,12,58,2,
2792,12,60,2,
2793,12,62,2,
2794,12,64,2,
2795,12,66,2,
2796,12,68,2,
2797,12,70,2,
2798,12,72,2,
2799,12,74,2,
2800,12,76,2,
2801,12,78,2,
2802,12,80,2,
2803,12,85,2,
2804,12,90,2,
2805,12,95,2,
2806,12,100,2,
2807,12,105,2,
2808,12,110,2,
2809,12,115,2,
2810,12,120,2,
2811,12,125,2,
2812,12,130,2,
2813,12,135,2,
2814,12,140,2,
2815,12,145,2,
2816,12,150,2,
2817,12,155,2,
2818,12,160,2,
2819,12,165,2,
2820,12,170,2,
2821,12,175,2,
2822,12,180,2,
2823,12,185,2,
2824,12,190,2,
2825,12,195,2,
2826,12,200,2,
2827,12,205,2,
2828,12,210,2,
2829,12,215,2,
2830,12,220,2,
2831,12,225,2,
2832,12,230,2,
2833,12,235,2,
2834,12,240,2,
2835,12,245,2,
2836,12,250,2,
2837,12,255,2,
2838,12,260,2,
2839,12,265,2,
2840,12,270,2,
2841,12,275,2,
2842,12,280,2,
2843,12,285,2,
2844,12,290,2,
2845,12,295,2,
2846,12,300,2,
2847,14,0,2,
2848,14,0.1,2,
2849,14,0.5,2,
2850,14,1,2,
2851,14,2,2,
2852,14,3,2,
2853,14,4,2,
2854,14,5,2,
2855,14,6,2,
2856,14,7,2,
2857,14,8,2,
2858,14,9,2,
2859,14,10,2,
2860,14,11,2,
2861,14,12,2,
2862,14,13,2,
2863,14,14,2,
2864,14,15,2,
2865,14,16,2,
2866,14,17,2,
2867,14,18,2,
2868,14,19,2,
2869,14,20,2,
2870,14,22,2,
2871,14,24,2,
2872,14,26,2,
2873,14,28,2,
2874,14,30,2,
2875,14,32,2,
2876,14,34,2,
2877,14,36,2,
2878,14,38,2,
2879,14,40,2,
2880,14,42,2,
2881,14,44,2,
2882,14,46,2,
2883,14,48,2,
2884,14,50,2,
2885,14,52,2,
2886,14,54,2,
2887,14,56,2,
2888,14,58,2,
2889,14,60,2,
2890,14,62,2,
2891,14,64,2,
2892,14,66,2,
2893,14,68,2,
2894,14,70,2,
2895,14,72,2,
2896,14,74,2,
2897,14,76,2,
2898,14,78,2,
2899,14,80,2,
2900,14,85,2,
2901,14,90,2,
2902,14,95,2,
2903,14,100,2,
2904,14,105,2,
2905,14,110,2,
2906,14,115,2,
2907,14,120,2,
2908,14,125,2,
2909,14,130,2,
2910,14,135,2,
2911,14,140,2,
2912,14,145,2,
2913,14,150,2,
2914,14,155,2,
2915,14,160,2,
2916,14,165,2,
2917,14,170,2,
2918,14,175,2,
2919,14,180,2,
2920,14,185,2,
2921,14,190,2,
2922,14,195,2,
2923,14,200,2,
2924,14,205,2,
2925,14,210,2,
2926,14,215,2,
2927,14,220,2,
2928,14,225,2,
2929,14,230,2,
2930,14,235,2,
2931,14,240,2,
2932,14,245,2,
2933,14,250,2,
2934,14,255,2,
2935,14,260,2,
2936,14,265,2,
2937,14,270,2,
2938,14,275,2,
2939,14,280,2,
2940,14,285,2,
2941,14,290,2,
2942,14,295,2,
2943,14,300,2,
2944,16,0,2,
2945,16,0.1,2,
2946,16,0.5,2,
2947,16,1,2,
2948,16,2,2,
2949,16,3,2,
2950,16,4,2,
2951,16,5,2,
2952,16,6,2,
2953,16,7,2,
2954,16,8,2,
2955,16,9,2,
2956,16,10,2,
2957,16,11,2,
2958,16,12,2,
2959,16,13,2,
2960,16,14,2,
2961,16,15,2,
2962,16,16,2,
2963,16,17,2,
2964,16,18,2,
2965,16,19,2,
2966,16,20,2,
2967,16,22,2,
2968,16,24,2,
2969,16,26,2,
2970,16,28,2,
2971,16,30,2,
2972,16,32,2,
2973,16,34,2,
2974,16,36,2,
2975,16,38,2,
2976,16,40,2,
2977,16,42,2,
2978,16,44,2,
2979,16,46,2,
2980,16,48,2,
2981,16,50,2,
2982,16,52,2,
2983,16,54,2,
2984,16,56,2,
2985,16,58,2,
2986,16,60,2,
2987,16,62,2,
2988,16,64,2,
2989,16,66,2,
2990,16,68,2,
2991,16,70,2,
2992,16,72,2,
2993,16,74,2,
2994,16,76,2,
2995,16,78,2,
2996,16,80,2,
2997,16,85,2,
2998,16,90,2,
2999,16,95,2,
3000,16,100,2,
3001,16,105,2,
3002,16,110,2,
3003,16,115,2,
3004,16,120,2,
3005,16,125,2,
3006,16,130,2,
3007,16,135,2,
3008,16,140,2,
3009,16,145,2,
3010,16,150,2,
3011,16,155,2,
3012,16,160,2,
3013,16,165,2,
3014,16,170,2,
3015,16,175,2,
3016,16,180,2,
3017,16,185,2,
3018,16,190,2,
3019,16,195,2,
3020,16,200,2,
3021,16,205,2,
3022,16,210,2,
3023,16,215,2,
3024,16,220,2,
3025,16,225,2,
3026,16,230,2,
3027,16,235,2,
3028,16,240,2,
3029,16,245,2,
3030,16,250,2,
3031,16,255,2,
3032,16,260,2,
3033,16,265,2,
3034,16,270,2,
3035,16,275,2,
3036,16,280,2,
3037,16,285,2,
3038,16,290,2,
3039,16,295,2,
3040,16,300,2,
3041,18,0,2,
3042,18,0.1,2,
3043,18,0.5,2,
3044,18,1,2,
3045,18,2,2,
3046,18,3,2,
3047,18,4,2,
3048,18,5,2,
3049,18,6,2,
3050,18,7,2,
3051,18,8,2,
3052,18,9,2,
3053,18,10,2,
3054,18,11,2,
3055,18,12,2,
3056,18,13,2,
3057,18,14,2,
3058,18,15,2,
3059,18,16,2,
3060,18,17,2,
3061,18,18,2,
3062,18,19,2,
3063,18,20,2,
3064,18,22,2,
3065,18,24,2,
3066,18,26,2,
3067,18,28,2,
3068,18,30,2,
3069,18,32,2,
3070,18,34,2,
3071,18,36,2,
3072,18,38,2,
3073,18,40,2,
3074,18,42,2,
3075,18,44,2,
3076,18,46,2,
3077,18,48,2,
3078,18,50,2,
3079,18,52,2,
3080,18,54,2,
3081,18,56,2,
3082,18,58,2,
3083,18,60,2,
3084,18,62,2,
3085,18,64,2,
3086,18,66,2,
3087,18,68,2,
3088,18,70,2,
3089,18,72,2,
3090,18,74,2,
3091,18,76,2,
3092,18,78,2,
3093,18,80,2,
3094,18,85,2,
3095,18,90,2,
3096,18,95,2,
3097,18,100,2,
3098,18,105,2,
3099,18,110,2,
3100,18,115,2,
3101,18,120,2,
3102,18,125,2,
3103,18,130,2,
3104,18,135,2,
3105,18,140,2,
3106,18,145,2,
3107,18,150,2,
3108,18,155,2,
3109,18,160,2,
3110,18,165,2,
3111,18,170,2,
3112,18,175,2,
3113,18,180,2,
3114,18,185,2,
3115,18,190,2,
3116,18,195,2,
3117,18,200,2,
3118,18,205,2,
3119,18,210,2,
3120,18,215,2,
3121,18,220,2,
3122,18,225,2,
3123,18,230,2,
3124,18,235,2,
3125,18,240,2,
3126,18,245,2,
3127,18,250,2,
3128,18,255,2,
3129,18,260,2,
3130,18,265,2,
3131,18,270,2,
3132,18,275,2,
3133,18,280,2,
3134,18,285,2,
3135,18,290,2,
3136,18,295,2,
3137,18,300,2,
3138,20,0,2,
3139,20,0.1,2,
3140,20,0.5,2,
3141,20,1,2,
3142,20,2,2,
3143,20,3,2,
3144,20,4,2,
3145,20,5,2,
3146,20,6,2,
3147,20,7,2,
3148,20,8,2,
3149,20,9,2,
3150,20,10,2,
3151,20,11,2,
3152,20,12,2,
3153,20,13,2,
3154,20,14,2,
3155,20,15,2,
3156,20,16,2,
3157,20,17,2,
3158,20,18,2,
3159,20,19,2,
3160,20,20,2,
3161,20,22,2,
3162,20,24,2,
3163,20,26,2,
3164,20,28,2,
3165,20,30,2,
3166,20,32,2,
3167,20,34,2,
3168,20,36,2,
3169,20,38,2,
3170,20,40,2,
3171,20,42,2,
3172,20,44,2,
3173,20,46,2,
3174,20,48,2,
3175,20,50,2,
3176,20,52,2,
3177,20,54,2,
3178,20,56,2,
3179,20,58,2,
3180,20,60,2,
3181,20,62,2,
3182,20,64,2,
3183,20,66,2,
3184,20,68,2,
3185,20,70,2,
3186,20,72,2,
3187,20,74,2,
3188,20,76,2,
3189,20,78,2,
3190,20,80,2,
3191,20,85,2,
3192,20,90,2,
3193,20,95,2,
3194,20,100,2,
3195,20,105,2,
3196,20,110,2,
3197,20,115,2,
3198,20,120,2,
3199,20,125,2,
3200,20,130,2,
3201,20,135,2,
3202,20,140,2,
3203,20,145,2,
3204,20,150,2,
3205,20,155,2,
3206,20,160,2,
3207,20,165,2,
3208,20,170,2,
3209,20,175,2,
3210,20,180,2,
3211,20,185,2,
3212,20,190,2,
3213,20,195,2,
3214,20,200,2,
3215,20,205,2,
3216,20,210,2,
3217,20,215,2,
3218,20,220,2,
3219,20,225,2,
3220,20,230,2,
3221,20,235,2,
3222,20,240,2,
3223,20,245,2,
3224,20,250,2,
3225,20,255,2,
3226,20,260,2,
3227,20,265,2,
3228,20,270,2,
3229,20,275,2,
3230,20,280,2,
3231,20,285,2,
3232,20,290,2,
3233,20,295,2,
3234,20,300,2,
3235,24.5,0,1,
3236,24.5,0.1,1,
3237,24.5,0.5,1,
3238,24.5,1,1,
3239,24.5,2,1,
3240,24.5,3,1,
3241,24.5,4,1,
3242,24.5,5,1,
3243,24.5,6,1,
3244,24.5,7,1,
3245,24.5,8,1,
3246,24.5,9,1,
3247,24.5,10,1,
3248,24.5,11,1,
3249,24.5,12,1,
3250,24.5,13,1,
3251,24.5,14,1,
3252,24.5,15,1,
3253,24.5,16,1,
3254,24.5,17,1,
3255,24.5,18,1,
3256,24.5,19,1,
3257,24.5,20,1,
3258,24.5,22,1,
3259,24.5,24,1,
3260,24.5,26,1,
3261,24.5,28,1,
3262,24.5,30,1,
3263,24.5,32,1,
3264,24.5,34,1,
3265,24.5,36,1,
3266,24.5,38,1,
3267,24.5,40,1,
3268,24.5,42,1,
3269,24.5,44,1,
3270,24.5,46,1,
3271,24.5,48,1,
3272,24.5,50,1,
3273,24.5,52,1,
3274,24.5,54,1,
3275,24.5,56,1,
3276,24.5,58,1,
3277,24.5,60,1,
3278,24.5,62,1,
3279,24.5,64,1,
3280,24.5,66,1,
3281,24.5,68,1,
3282,24.5,70,1,
3283,24.5,72,1,
3284,24.5,74,1,
3285,24.5,76,1,
3286,24.5,78,1,
3287,24.5,80,1,
3288,24.5,85,1,
3289,24.5,90,1,
3290,24.5,95,1,
3291,24.5,100,1,
3292,24.5,105,1,
3293,24.5,110,1,
3294,24.5,115,1,
3295,24.5,120,1,
3296,24.5,125,1,
3297,24.5,130,1,
3298,24.5,135,1,
3299,24.5,140,1,
3300,24.5,145,1,
3301,24.5,150,1,
3302,24.5,155,1,
3303,24.5,160,1,
3304,24.5,165,1,
3305,24.5,170,1,
3306,24.5,175,1,
3307,24.5,180,1,
3308,24.5,185,1,
3309,24.5,190,1,
3310,24.5,195,1,
3311,24.5,200,1,
3312,24.5,205,1,
3313,24.5,210,1,
3314,24.5,215,1,
3315,24.5,220,1,
3316,24.5,225,1,
3317,24.5,230,1,
3318,24.5,235,1,
3319,24.5,240,1,
3320,24.5,245,1,
3321,24.5,250,1,
3322,24.5,255,1,
3323,24.5,260,1,
3324,24.5,265,1,
3325,24.5,270,1,
3326,24.5,275,1,
3327,24.5,280,1,
3328,24.5,285,1,
3329,24.5,290,1,
3330,24.5,295,1,
3331,24.5,300,1,
3332,24.5,0,2,
3333,24.5,0.1,2,
3334,24.5,0.5,2,
3335,24.5,1,2,
3336,24.5,2,2,
3337,24.5,3,2,
3338,24.5,4,2,
3339,24.5,5,2,
3340,24.5,6,2,
3341,24.5,7,2,
3342,24.5,8,2,
3343,24.5,9,2,
3344,24.5,10,2,
3345,24.5,11,2,
3346,24.5,12,2,
3347,24.5,13,2,
3348,24.5,14,2,
3349,24.5,15,2,
3350,24.5,16,2,
3351,24.5,17,2,
3352,24.5,18,2,
3353,24.5,19,2,
3354,24.5,20,2,
3355,24.5,22,2,
3356,24.5,24,2,
3357,24.5,26,2,
3358,24.5,28,2,
3359,24.5,30,2,
3360,24.5,32,2,
3361,24.5,34,2,
3362,24.5,36,2,
3363,24.5,38,2,
3364,24.5,40,2,
3365,24.5,42,2,
3366,24.5,44,2,
3367,24.5,46,2,
3368,24.5,48,2,
3369,24.5,50,2,
3370,24.5,52,2,
3371,24.5,54,2,
3372,24.5,56,2,
3373,24.5,58,2,
3374,24.5,60,2,
3375,24.5,62,2,
3376,24.5,64,2,
3377,24.5,66,2,
3378,24.5,68,2,
3379,24.5,70,2,
3380,24.5,72,2,
3381,24.5,74,2,
3382,24.5,76,2,
3383,24.5,78,2,
3384,24.5,80,2,
3385,24.5,85,2,
3386,24.5,90,2,
3387,24.5,95,2,
3388,24.5,100,2,
3389,24.5,105,2,
3390,24.5,110,2,
3391,24.5,115,2,
3392,24.5,120,2,
3393,24.5,125,2,
3394,24.5,130,2,
3395,24.5,135,2,
3396,24.5,140,2,
3397,24.5,145,2,
3398,24.5,150,2,
3399,24.5,155,2,
3400,24.5,160,2,
3401,24.5,165,2,
3402,24.5,170,2,
3403,24.5,175,2,
3404,24.5,180,2,
3405,24.5,185,2,
3406,24.5,190,2,
3407,24.5,195,2,
3408,24.5,200,2,
3409,24.5,205,2,
3410,24.5,210,2,
3411,24.5,215,2,
3412,24.5,220,2,
3413,24.5,225,2,
3414,24.5,230,2,
3415,24.5,235,2,
3416,24.5,240,2,
3417,24.5,245,2,
3418,24.5,250,2,
3419,24.5,255,2,
3420,24.5,260,2,
3421,24.5,265,2,
3422,24.5,270,2,
3423,24.5,275,2,
3424,24.5,280,2,
3425,24.5,285,2,
3426,24.5,290,2,
3427,24.5,295,2,
3428,24.5,300,2,
